date,hour_range,id,demand,frequency,coal,nuclear,ccgt,wind,pumped,hydro,biomass,oil,solar,ocgt,french_ict,dutch_ict,irish_ict,ew_ict,nemo,other,north_south,scotland_england,ifa2,intelec_ict,nsl,vkl_ict
2024-09-05,20:00 - 21:00,1394311.5,27584.583333333332,49.93699991666667,0.0,4831.166666666667,5181.416666666667,8388.416666666666,110.58333333333333,479.75,3162.0,0.0,0.0,0.3333333333333333,1518.75,-354.6666666666667,196.25,0.0,261.75,251.08333333333334,0.0,0.0,-2.0,383.0833333333333,1397.0,1423.0
2024-09-05,21:00 - 22:00,1394323.5,25291.416666666668,49.956999583333335,0.0,4861.166666666667,3599.0,8086.833333333333,0.0,455.75,2841.5833333333335,0.0,0.0,0.75,1817.5,-386.0,125.16666666666667,0.0,146.83333333333334,137.91666666666666,0.0,0.0,-2.0,378.4166666666667,1397.0,1423.0
2024-09-05,22:00 - 23:00,1394335.5,23749.833333333332,49.98508366666667,0.0,4868.5,3164.6666666666665,7752.25,0.0,413.0,2063.1666666666665,0.0,0.0,0.75,1993.75,-740.6666666666666,11.833333333333334,125.08333333333333,-154.83333333333334,218.58333333333334,0.0,0.0,-2.0,307.0833333333333,1397.0,1423.0
2024-09-05,23:00 - 00:00,1394347.5,22988.416666666668,49.98733291666667,0.0,4871.083333333333,2924.1666666666665,7667.333333333333,0.0,382.3333333333333,1713.5833333333333,0.0,0.0,0.8333333333333334,1877.75,-804.0,-23.0,303.9166666666667,-437.0,144.83333333333334,0.0,0.0,-2.0,280.8333333333333,1397.0,1417.1666666666667
2024-09-06,00:00 - 01:00,1394359.5,22432.75,50.018583166666666,0.0,4869.333333333333,2951.9166666666665,7238.583333333333,0.0,355.75,1600.0833333333333,0.0,0.0,1.0,1798.4166666666667,-462.5,-86.16666666666667,304.4166666666667,-510.3333333333333,177.83333333333334,0.0,0.0,-2.0,316.4166666666667,1397.0,1422.0
2024-09-06,01:00 - 02:00,1394371.5,22151.333333333332,50.045249500000004,0.0,4867.916666666667,2803.8333333333335,6990.25,0.0,352.4166666666667,1626.5,0.0,0.0,1.4166666666666667,1890.1666666666667,-364.1666666666667,-237.5,305.25,-290.5,170.25,0.0,0.0,-2.0,323.3333333333333,1397.0,1423.0
2024-09-06,02:00 - 03:00,1394383.5,22175.666666666668,49.989917,0.0,4863.666666666667,2722.6666666666665,6953.75,0.0,352.5,1212.3333333333333,0.0,0.0,1.3333333333333333,1717.5833333333333,-480.5,-347.0,305.75,285.0833333333333,167.41666666666666,0.0,0.0,-2.0,340.3333333333333,1397.0833333333333,1423.0
2024-09-06,03:00 - 04:00,1394395.5,20935.166666666668,50.018916749999995,0.0,4864.75,2782.5833333333335,6863.166666666667,0.0,352.25,1187.4166666666667,0.0,0.0,1.4166666666666667,1402.3333333333333,-488.0,-245.0,282.3333333333333,36.583333333333336,215.83333333333334,0.0,0.0,-2.0,117.75,1397.0,1423.0
2024-09-06,04:00 - 05:00,1394407.5,21489.25,49.976083499999994,0.0,4864.0,3753.0,6330.333333333333,0.0,389.3333333333333,1720.5,0.0,0.0,1.0,972.75,-608.0,-96.0,57.833333333333336,-271.0,245.33333333333334,0.0,0.0,-2.0,388.1666666666667,1397.0,1423.0
2024-09-06,05:00 - 06:00,1394419.5,24568.0,49.968667,0.0,4864.583333333333,5321.583333333333,7123.0,0.0,408.4166666666667,1841.9166666666667,0.0,3.333333333333333e-07,1.0,1307.8333333333333,-775.0,-32.666666666666664,0.0,-465.3333333333333,348.3333333333333,0.0,0.0,-2.0,531.3333333333334,1397.0,1423.0
